journal,year,mont,title,abstract,author
Journal of hospital medicine,2023,3,Gender differences in COVID-19-related manuscript authorship by hospitalists during the pandemic: A bibliometric analysis.,"Hospital medicine (HM) has a well-described gender disparity related to academic work and promotion. During the COVID-19 pandemic, female authorship across medicine fell further behind historical averages.",Elias RM
Clinical pharmacology and therapeutics,2023,3,Diversity in Clinical Pharmacology: A Call to Action.,"Prioritization of diversity, equity, and inclusion in all facets of our work is long overdue for the clinical pharmacology community. Increasing diversity in clinical research will deepen our understanding of nuanced patient populations and help improve all patient outcomes. Fostering an inclusive and diverse workforce will lead to broader perspectives that can better inform critical decisions and create work environments where everyone can thrive. In this call to action, we invite you to join us.",Brown K
Contemporary clinical trials,2023,3,"Diversity, equity, and inclusion in clinical trials: A practical guide from the perspective of a trial sponsor.","Considering diversity, equity, and inclusion (DEI) in clinical trials ensures that data collected for investigational treatments reflect the populations most likely to benefit from those therapies. Resources and recommendations regarding DEI were assembled by the trial sponsor to assist clinical trial development.",Versavel S
Journal of healthcare management / American College of Healthcare Executives,2023,3,"A Seat at the Table: An Examination of Hospital Governing Board Diversity, 2011-2021.","Board diversity is increasingly important for hospitals and healthcare systems, with national attention focused on eliminating health disparities and improving health equity. Yet, it remains a challenge despite concerted efforts by leading professional associations (e.g., American College of Healthcare Executives) to galvanize their constituents around the importance of the issue.",Silvera GA
Nursing outlook,2023,3,An overview and policy implications of national nurse identifier systems: A call for unity and integration.,"There is a clear and growing need to be able record and track the contributions of individual registered nurses (RNs) to patient care and patient care outcomes in the US and also understand the state of the nursing workforce. The National Academies of Sciences, Engineering, and Medicine report, The Future of Nursing 2020-2030: Charting a Path to Achieve Health Equity (2021), identified the need to track nurses' collective and individual contributions to patient care outcomes. This capability depends upon the adoption of a unique nurse identifier and its implementation within electronic health records. Additionally, there is a need to understand the nature and characteristics of the overall nursing workforce including supply and demand, turnover, attrition, credentialing, and geographic areas of practice. This need for data to support workforce studies and planning is dependent upon comprehensive databases describing the nursing workforce, with unique nurse identification to support linkage across data sources. There are two existing national nurse identifiers- the National Provider Identifier and the National Council of State Boards of Nursing Identifier. This article provides an overview of these two national nurse identifiers; reviews three databases that are not nurse specific to understand lessons learned in the development of those databases; and discusses the ethical, legal, social, diversity, equity, and inclusion implications of a unique nurse identifier.",Chan GK
Genetics in medicine : official journal of the American College of Medical Genetics,2023,3,Words matter: The language of difference in human genetics.,"Diversity, equity, and inclusion efforts in academia are leading publishers and journals to re-examine their use of terminology for commonly used scientific variables. This reassessment of language is particularly important for human genetics, which is focused on identifying and explaining differences between individuals and populations. Recent guidance on the use of terms and symbols in clinical practice, research, and publications is beginning to acknowledge the ways that language and concepts of difference can be not only inaccurate but also harmful. To stop perpetuating historical wrongs, those of us who conduct and publish genetic research and provide genetic health care must understand the context of the terms we use and why some usages should be discontinued. In this article, we summarize critiques of terminology describing disability, sex, gender, race, ethnicity, and ancestry in research publications, laboratory reports, diagnostic codes, and pedigrees. We also highlight recommendations for alternative language that aims to make genetics more inclusive, rigorous, and ethically sound. Even though norms of acceptable language use are ever changing, it is the responsibility of genetics professionals to uncover biases ingrained in professional practice and training and to continually reassess the words we use to describe human difference because they cause harm to patients.",Cho MK
Clinical pharmacology and therapeutics,2023,3,A Review of the Evolving Landscape of Inclusive Research and Improved Clinical Trial Access.,"Current clinical research does not reflect the diversity of patient populations, despite continued recommendations to increase enrollment of under-represented racial and ethnic groups. The ramifications of this lack of trial diversity are important because of potential differences between races and ethnicities in response to therapies, which have been observed for drugs across indications. Nonrepresentative research populations limit the generalizability of study results, which may lead to questions about safety and efficacy in certain subgroups of patients and hinder regulators, healthcare providers, and patients in their ability to adequately consider the benefits and risks of a therapeutic treatment across all populations. Renewed efforts to address healthcare disparities and increase diversity in clinical trials have demonstrated that inclusive trials are achievable and can provide scientifically rigorous results, and, thus, should stimulate greater action across all stakeholders. Ensuring that studies throughout the clinical development process include representative populations is a scientific imperative to advance health equity, racial justice, and trust in the safety and efficacy of medical therapies. This article reviews the long-standing lack of diversity and barriers to enrollment of diverse and representative populations in clinical trials, outlines the current evolving trial landscape and the efforts of stakeholders, and provides examples from scientifically rigorous inclusive trials. The goal is to share learnings in a wider context of opportunities to enhance diversity, equity, and inclusion in clinical development while ensuring the safety and efficacy of medical therapies in all populations of patients, and in doing so, provide wider patient access to therapeutic treatments.",Mohan SV
Clinical pharmacology and therapeutics,2023,3,Enhancing Diversity and Inclusion in Clinical Trials.,"Women and people from most racial and ethnic groups in the United States have historically been under-represented in clinical trials of investigational medical products. Inadequate representation of these groups may lead to an incomplete understanding of the safety and efficacy of new drugs, devices, biologics, and vaccines, and limit the generalizability of trial findings. As a result, new medical products may not be beneficial to all people who need them, and existing inequities in outcomes among various population groups may remain unchanged or worsen, or new disparities may arise. Although much work has focused on study-level strategies, research organizations must make systemic changes to how clinical trials are envisioned and implemented to achieve sustainable support for diversity and inclusion in clinical trials. The Clinical Trials Transformation Initiative (CTTI) conducted interviews with leaders at institutions that conduct clinical trials to explore perspectives on organizational-level practices that promote diversity and inclusion in clinical trials. Leaders described motivations, such as an ethical and moral imperative; organizational practices, such as staff investment and resource allocation; perceived return on investments, such as better science; and deterrents, such as cost and time. The CTTI also convened an expert meeting to discuss the interview findings and provide guidance. We present the interview findings and expert guidance in a framework that describes four key areas-commitment, partnerships, accountability, and resources-on sustaining organizational-level approaches for improving diversity and inclusion in clinical trials, with the ultimate goal of advancing health equity. Institutions who conduct and support clinical trials should implement organizational-level approaches to improve equitable access and diverse patient participation in clinical trials.",Corneli A
Journal of occupational and environmental medicine,2023,3,"A Cross-Sectional Descriptive Analysis of Diversity, Equity, and Inclusion Presence Among United States Occupational and Environmental Medicine Residency Program Websites.","To evaluate the presence of diversity, equity, and inclusion (DEI) among US occupational and environmental medicine (OEM) residency program websites.",Chaudhry ZS
The Journal of allergy and clinical immunology,2023,3,"Environmental justice and allergic disease: A Work Group Report of the AAAAI Environmental Exposure and Respiratory Health Committee and the Diversity, Equity and Inclusion Committee.","Environmental justice is the concept that all people have the right to live in a healthy environment, to be protected against environmental hazards, and to participate in decisions affecting their communities. Communities of color and low-income populations live, work, and play in environments with disproportionate exposure to hazards associated with allergic disease. This unequal distribution of hazards has contributed to health disparities and is largely the result of systemic racism that promotes segregation of neighborhoods, disinvestment in predominantly racial/ethnic minority neighborhoods, and discriminatory housing, employment, and lending practices. The AAAAI Environmental Exposure and Respiratory Health Committee and Diversity, Equity and Inclusion Committee jointly developed this report to improve allergy/immunology specialists' awareness of environmental injustice, its roots in systemic racism, and its impact on health disparities in allergic disease. We present evidence supporting the relationship between exposure to environmental hazards, particularly at the neighborhood level, and the disproportionately high incidence and poor outcomes from allergic diseases in marginalized populations. Achieving environmental justice requires investment in at-risk communities to increase access to safe housing, clean air and water, employment opportunities, education, nutrition, and health care. Through policies that promote environmental justice, we can achieve greater health equity in allergic disease.",Burbank AJ
Clinical pharmacology and therapeutics,2023,3,Clinical Trial Site Perspectives and Practices on Study Participant Diversity and Inclusion.,"Clinical trial participant populations fail to adequately represent target populations that drugs are intended to serve. Improving racial and ethnic diversity of clinical trial participants is essential for generalizable, quality clinical research results and ensuring social and medical equity. Site-level clinical research professionals (CRPs) have unique insights on diversity improvement strategies for clinical trial enrollment. A survey was distributed to current CRPs working at clinical research sites in the United States to describe current practices and perceptions of the impact these practices have on participant diversity. Subsequently, descriptive quantitative analysis and inductive content analysis were performed. For the practices surveyed, there are discrepancies between frequency of use and perceived impact on diversity enrollment. Common current practices include phone-based or telemedicine study visits, electronic/digital data collection, and participant compensation. However, we report travel reimbursement and services, translated documents and translator services, and adequate participant compensation as most impactful on diverse enrollment. A multistakeholder approach is necessary to enhance diversity and inclusion (D&I) of study participants. Besides large-scale solutions such as countering community distrust, actionable steps are needed by sponsors and study sites to improve D&I of trial participants. Study leadership at the sponsor, contract research organization (CRO), and site-level should create diversity plans prior to study start, and CRO and sponsor budgets should consider D&I strategies during study planning. Planning should incorporate strategies to improve D&I including adequate participant compensation, translated documents and translator services, and travel reimbursements.",MacLennan DL
Current opinion in cardiology,2023,3,"Engaging medical students in cardiac surgery: a focus on equity, diversity, and inclusion.","The Coronavirus Disease 2019 pandemic prohibited Canadian medical students from in-person observerships. This may be particularly detrimental to under-represented groups that may consider surgical subspecialties. To address the unprecedented need for alternative surgical career exploration and diversity within the profession, The University of Toronto Cardiac Surgery Interest Group and Division of Cardiac Surgery collaborated on virtual experiential programming.",Elfaki L
Clinical pharmacology and therapeutics,2023,3,"Diversity, Equity, and Inclusion in Clinical Research: A Path Toward Precision Health for Everyone.","Healthcare disparities are a persistent societal problem. One of the contributing factors to this status quo is the lack of diversity and representativeness of research efforts, which result in nongeneralizable evidence that, in turn, provides suboptimal means to enable the best possible outcomes at the individual level. There are several strategies that research teams can adopt to improve the diversity, equity, and inclusion (DEI) of their efforts; these strategies span the totality of the research path, from initial design to the shepherding of clinical data through a potential regulatory process. These strategies include more intentionality and DEI-based goal-setting, more diverse research and leadership teams, better community engagement to set study goals and approaches, better tailored outreach interventions, decentralization of study procedures and incorporation of innovative technology for more flexible data collection, and self-surveillance to identify and prevent biases. Within their remit of overlooking research efforts, regulatory authorities, as stakeholders, also have the potential for a positive effect on the DEI of emerging clinical evidence. All these are implementable tools and mechanisms that can make study participation more approachable to diverse communities, and ultimately generate evidence that is more generalizable and a conduit for better outcomes. The research community has an imperative to make DEI principles key foundational aspects in study conduct in order to pursue better personalized medicine for diverse patient populations.",Washington V
American journal of pharmaceutical education,2023,3,"Taking Action Towards Equity, Diversity, and Inclusion in the Pharmacy Curriculum and Continuing Professional Development.","Increased awareness of social injustices and inequities highlight the relevance and importance of diversity, equity, inclusion, and accessibility (DEIA) in health care. Former and recent graduates of pharmacy schools remain deficient in their knowledge of DEIA topics such as unconscious bias, which can directly influence health outcomes in an undesirable manner. Particular DEIA areas that are pertinent to pharmacy practice include: race, gender, sexual orientation, gender identity, ability status, religion, socioeconomic status, and political beliefs. The American Association of Colleges of Pharmacy (AACP) affirmed its commitment to DEIA as a priority. However, existing gaps in knowledge of pharmacy graduates in this area have the potential to contribute to health disparities and inequities, which are significant public health issues. We call on academic pharmacy institutions and professional pharmacy organizations to elevate DEIA topics and to designate them as essential to both addressing health equity and improving care for underserved populations. We also implore licensing boards to require continuing education related to DEIA as a foundational step to closing the knowledge gap for pharmacists in this area.",Arif SA
Journal of vascular surgery,2023,3,"Programmatic engagement in diversity, equity, and inclusion in U.S. vascular surgery training programs.","Given the diversity of populations that modern healthcare professionals treat, there has been an increasing call for academic medical centers to ensure that they themselves are diverse and inclusive. Historically, this has been measured by the composition of the workforce in terms of protected categories such as race/ethnicity, gender, and disability. However, these broad categories have only poorly reflected the actual ability of organizations to engage with a diverse workforce and patient population. The diversity and engagement survey (DES) is a specifically constructed and validated instrument designed to measure the integration of diversity, equity, and inclusion (DEI) within academic medical centers. The goal of the present study was to use the DES with vascular surgery program directors, to determine the predictors of low DEI in vascular surgery training programs.",Bose S
Canadian journal of surgery. Journal canadien de chirurgie,2022,7,"The use of an analytic hierarchy process to promote equity, diversity and inclusion.","Equity, diversity and inclusion (EDI) are increasingly important directives in medicine that add further complexity to adjudications. The analytic hierarchy process is proposed as a tool for multicriteria decision-making that can facilitate the incorporation of EDI directives, especially for collective, group determinations.",Ing EB
"Radiographics : a review publication of the Radiological Society of North America, Inc",2023,6,"Grassroots Approach to Forming a Diversity, Equity, and Inclusion Committee in an Academic Radiology Department.","Radiology is among the medical specialties that have made the fewest gains in closing the gap in underrepresented minorities and women. Diversity, equity, and inclusion (DEI) initiatives are important for promoting healthy learning environments for trainees, health equity for patients, and equitable career development opportunities for employees, all of which contribute to innovation in today's competitive health care environment. DEI committees can self-organize or form from institutional directives. These committees can implement impactful projects in multiple domains in education, recruitment and retention, department culture, and health equity research. This article describes the formation of a grassroots DEI committee, key initiatives and strategies, and structures for accountability. © RSNA, 2023 Quiz questions for this article are available in the supplemental material.",Averill SL
Health services research,2023,6,"Muslim American physicians' experiences with, and views on, religious discrimination and accommodation in academic medicine.",To assess Muslim physician experiences with religious discrimination and identify strategies for better accommodating Muslim identity in health care.,Padela AI
Paediatric anaesthesia,2023,6,"Diversity, equity, and inclusion within the Society for Pediatric Anesthesia: A mixed methods assessment.","Leadership of the Society for Pediatric Anesthesia created the Diversity, Equity, and Inclusion committee in 2018 to prioritize diversity work. The Society for Pediatric Anesthesia-Diversity, Equity, and Inclusion committee implemented a baseline survey of the Society for Pediatric Anesthesia membership in 2020 to assess demographics, equity in leadership, inclusivity, and attitudes toward diversity work. The Society for Pediatric Anesthesia plays a significant role in shaping the future of pediatric anesthesiology and in supporting our diverse pediatric patients.",Reece-Nguyen TL
Advances in health sciences education : theory and practice,2022,5,Freedom from discrimination or freedom to discriminate? Discursive tensions within discrimination policies in medical education.,"The importance of advancing equity, diversity, and inclusion for all members of the academic medical community has gained recent attention. Academic medical organizations have attempted to increase broader representation while seeking structural reforms consistent with the goal of enhancing equity and reducing disproportionality. However, efforts remain constrained while minority groups continue to experience discrimination. In this study, the authors sought to identify and understand the discursive effects of discrimination policies within medical education. The authors assembled an archive of 22 texts consisting of publicly available discrimination and harassment policy documents in 13 Canadian medical schools that were active as of November 2019. Each text was analysed to identify themes, rhetorical strategies, problematization, and power relations. Policies described truth statements that appear to idealize equity, yet there were discourses related to professionalism and neutrality that were in tension with these ideals. There was also tension between organizations' framing of a shared responsibility for addressing discrimination and individual responsibility on complainants. Lastly, there were also competing discourses on promoting freedom from discrimination and the concept of academic freedom. Overall, findings reveal several areas of tension that shape how discrimination is addressed in policy versus practice. Existing discourses regarding self-protection and academic freedom suggest equity cannot be advanced through policy discourse alone and more substantive structural transformation may be necessary. Existing approaches may be inadequate to address discrimination unless academic medical organizations interrogate the source of these discursive tensions and consider asymmetries of power.",Sukhera J
The Hastings Center report,2022,5,DEI Is Not Enough.,"The movement under way to increase diversity, equity, and inclusion (DEI) in every workplace, including academia, medicine, and science, is an essential step toward health justice, but only a first step. Bioethics, health care, and health-related research all need more professionals from minoritized groups, but all of us need to do more to address justice at every level. From inclusive workplace policies and practices to research into structural injustices and health disparities, bioethics can and must lead the way in collaborative efforts. The work belongs to all of us, and DEI is only the beginning.",King NMP
Academic Pediatrics,,,,"A racially and ethnically diverse physician workforce is critical to meeting the needs of the United States' increasingly diverse patient population. Unfortunately, Black, Lat-inx, American Indian, and Alaska Native communities remain underrepresented in medicine. The disproportionate impact of the COVID-19 pandemic by race/ethnicity and increased public attention to anti-Black and anti-Asian racism have inspired a growing national discourse on addressing systemic racism. Within academic medicine, there has been a call for the fundamental incorporation of antiracism into medical training and professional competency. From the perspective of a group primarily led by residents who are women of color, we describe our 6 years of experience leading a Diversity Committee that catalyzed sustained and systemic efforts to advance diversity, equity, inclusion (DEI), and antiracism at a large urban pediatrics residency program. We outline the implementation and key outcomes of the Diversity Committee's ongoing initiatives to increase resident diversity, foster an inclusive learning environment, develop a resident curriculum on DEI and antiracism, and center the needs and wisdom of the communities that our institution serves. Finally, we highlight challenges and lessons learned to inform other institutions striving to advance DEI and antiracism in academic medicine.","Karvonen, Kayla L."
Academic Pediatrics,,,,"The Academic Pediatrics Association has taken multiple steps over the last 2 years to incorporate the lenses of anti-racism and social justice into our mission and work. In this commentary, we discuss the creation and work of the Anti-Racism and Diversity Task Force, which was charged by the Academic Pediatrics Association's Board of Directors with identifying strategies to promote anti-racism and advance the diversity, equity and inclusion agenda.","Cohen, Adam"
Academic pediatrics,2022,4,"A Resident-Led Initiative to Advance Diversity, Equity, Inclusion, and Antiracism in a Pediatrics Residency Program.","A racially and ethnically diverse physician workforce is critical to meeting the needs of the United States' increasingly diverse patient population. Unfortunately, Black, Latinx, American Indian, and Alaska Native communities remain underrepresented in medicine. The disproportionate impact of the COVID-19 pandemic by race/ethnicity and increased public attention to anti-Black and anti-Asian racism have inspired a growing national discourse on addressing systemic racism. Within academic medicine, there has been a call for the fundamental incorporation of antiracism into medical training and professional competency. From the perspective of a group primarily led by residents who are women of color, we describe our 6 years of experience leading a Diversity Committee that catalyzed sustained and systemic efforts to advance diversity, equity, inclusion (DEI), and antiracism at a large urban pediatrics residency program. We outline the implementation and key outcomes of the Diversity Committee's ongoing initiatives to increase resident diversity, foster an inclusive learning environment, develop a resident curriculum on DEI and antiracism, and center the needs and wisdom of the communities that our institution serves. Finally, we highlight challenges and lessons learned to inform other institutions striving to advance DEI and antiracism in academic medicine.",Karvonen KL
The International journal of eating disorders,2022,4,Reporting racial and ethnic diversity in eating disorder research over the past 20 years.,"Recent public awareness of racial and ethnic disparities has again brought to light issues of diversity, equity, and inclusion in the eating disorders field. However, empirical information on racial and ethnic representation in eating disorders research is limited, making it difficult to understand where improvements are needed.",Egbert AH
The International journal of eating disorders,2022,4,Accountability in promoting representation of historically marginalized racial and ethnic populations in the eating disorders field: A call to action.,"Promoting representation of historically marginalized racial and ethnic populations in the eating disorders (EDs) field among professionals and the populations studied and served has long been discussed, with limited progress. This may be due to a reinforcing feedback loop in which individuals from dominant cultures conduct research and deliver treatment, participate in research, and receive diagnoses and treatment. This insularity maintains underrepresentation: EDs in historically marginalized populations are understudied, undetected, and undertreated. An Early Career Investigators Workshop generated recommendations for change that were not inherently novel but made apparent that accountability is missing. This paper serves as a call to action to spearhead a paradigm shift from equality to equity in the ED field. We provide a theoretical framework, suggest ways to disrupt the feedback loop, and summarize actionable steps to increase accountability in ED leadership and research toward enhancing racial/ethnic justice, equity, diversity, and inclusion (JEDI). These actionable steps are outlined in the service of challenging our field to reflect the diversity of our global community. We must develop and implement measurable metrics to assess our progress toward increasing diversity of underrepresented racial/ethnic groups and to address JEDI issues in our providers, patients, and research participants.",Goel NJ
Academic pediatrics,2022,4,Changing Who Has a Seat and Voice at the Table: How the Academic Pediatric Association is Responding to Systemic Racism.,"The Academic Pediatrics Association has taken multiple steps over the last 2 years to incorporate the lenses of anti-racism and social justice into our mission and work. In this commentary, we discuss the creation and work of the Anti-Racism and Diversity Task Force, which was charged by the Academic Pediatrics Association's Board of Directors with identifying strategies to promote anti-racism and advance the diversity, equity and inclusion agenda.",Cohen A
Annals of family medicine,2022,3,The EMBOLDEN Co-design study: Partnering with older adults and communities to develop a community program to enhance mobility.,"Context: Physical mobility and social participation are requisite for independence and quality of life as one ages. Barriers to mobility lead to social isolation, poor physical and mental health, all of which are precursors to frailty. To date, most mobility-enhancing interventions in older adults have been designed by researchers without citizen input and delivered in controlled settings; their translation to real-world contexts is often impractical and rarely occurs. Objectives: i) To engage older adults and community service providers to qualitatively explore priorities, needs, enablers and barriers to mobility and community participation faced by older adults, and ii) To co-design an evidence-informed, feasible, acceptable group intervention to support mobility and promote health among older adults facing health inequities. Study Design: Adapted experience-based co-design, conducted in collaboration with a Strategic Guiding Council comprised of older adults and service providers. Setting: Community-based. Population studied: Community-dwelling older adults (55+) and local health and social service providers. Outcome Measures: EMBOLDEN's Strategic Guiding Council and the research team collectively interpreted qualitative study findings, together with results of completed systematic reviews and an environmental scan, to determine priority design features of a community-based mobility-enhancing intervention to enable health and well-being in older adults in Hamilton, ON. Results: Eighteen diverse older adults and 16 service providers completed persona scenario interviews. These lived experience perspectives were analyzed, interpreted, and integrated with research and local evidence in the intervention co-design process. Priority design features for the intervention included duration, intensity, mode of delivery, characteristics of interventionists, and implementation strategies. Findings highlighted key strategies related to participant motivation, recruitment, and engagement, as well as important equity, diversity, and inclusion considerations. Conclusions: Partnering with diverse stakeholders is critical to identifying optimal design features of a community-based intervention to promote mobility. Ultimately, we aim to implement and evaluate a health promoting intervention that is sustainable, scalable, addresses health inequities, and effectively improves the lives of older adults.",
Annals of family medicine,2022,3,Moving Beyond Inquiry: Clinician Training Opportunities to Promote Racial Justice in Clinical Care.,"Context: The Presence 5 for Racial Justice (P5RJ), an adaptation of the Stanford Presence 5 framework practices, comprises anti-racism clinician communication practices that promote health equity and build trusting relationships with Black patients. Objective: We sought to identify specific statements and actions that clinicians use to promote racial justice in their clinical care. Study Design: Mixed-methods analysis of a survey, using deductive and inductive approaches to identify themes in qualitative data. Dataset: N=53 specific phrases provided in response to open-ended survey prompts related to the P5RJ practices. Population studied: N=50 respondents (27 clinicians, 17 medical trainees, and 6 unreported) recruited through convenience sampling and listservs of clinicians with expertise in diversity, equity, and inclusion. Respondents identified as Asian (9), Black/African American (10), Hispanic/Latinx/Spanish Origin (4), White/Caucasian (20), Write-in (1), and more than one race/ethnicity (6). Outcome Measures: Clinician statements were mapped to P5RJ domains and were categorized using Goffman's communication theory as 1) inquiry (e.g. ""What effect (if any) do you feel race has had on your health or your interactions with the health care system?""), 2) self-accountability (e.g. ""I am sorry I made that assumption""), 3) empathetic statements (e.g. ""You seem sad, but maybe I am misinterpreting that. How are you feeling?""), and/or 4) statements of allyship (e.g. ""Would you let me know if you feel you can't speak up and I will speak up for you?""). Results: Across all five practices, ""Inquiry"" was the predominant theme identified (58.5%), followed by ""Empathy"" (24.5%), ""Statements of Allyship"" (9.4%), and ""Self-Accountability"" (7.5%). 94% of respondents indicated diversity, equity, and inclusion involvement, and all respondents who provided specific phrases were in this category. Conclusions: Clinicians and medical trainees alike use inquiry as a predominant communication practice when addressing racism and promoting health equity. This may be due to a higher comfort level given the central role of question-asking during history-taking in medical training and clinical care. Our findings suggest an opportunity to focus anti-racism communication training on statements of empathy, self-accountability, and allyship. Future research is needed to evaluate patient preferences on appropriate types of clinician statements to promote health equity in clinical care.",
Journal of general internal medicine,2022,3,"Diversity, Equity, and Inclusion: Moving from Performance to Transformation Through the Arts and Humanities.","Effective engagement on issues of diversity, equity, and inclusion (DEI) requires activities that promote deep introspection and group conversations that serve to complement and build upon formal DEI presentations. The arts and humanities by their nature allow for intentional and sustained reflection and have the potential to be transformative of thinking. We therefore propose that the next phase of institutional pro-equity/anti-racism efforts includes arts- and humanities-based initiatives to facilitate reflection and that serve to complement and build upon formal DEI didactic presentations, implicit bias workshops, and anti-racism training.",Cerceo E
Annals of family medicine,2022,3,Implementing High-Quality Primary Care Through a Health Equity Lens.,"The COVID-19 pandemic highlighted the importance of centering health equity in future health system and primary care reforms. Strengthening primary care will be needed to correct the longstanding history of mistreatment of First Nations/Indigenous and racialized people, exclusion of health care workers of color, and health care access and outcome inequities further magnified by the COVID-19 pandemic. The National Academies of Sciences, Engineering, and Medicine (NASEM) released a report on Implementing High-Quality Primary Care: Rebuilding the Foundation of Health Care , that provided a framework for defining high-quality primary care and proposed 5 recommendations for implementing that definition. Using the report's framework, we identified health equity challenges and opportunities with examples from primary care systems in the United States and Canada. We are poised to reinvigorate primary care because the recent pandemic and the attention to continued racialized police violence sparked renewed conversations and collaborations around equity, diversity, inclusion, and health equity that have been long overdue. The time to transition those conversations to actionable items to improve the health of patients, families, and communities is now.Appeared as Annals ""Online First"" article.",Eissa A
The American surgeon,2022,3,"Diversity, Equity, and Inclusion: A Current Analysis of General Surgery Residency Programs.","Local, regional, and national diversity, equity, and inclusion (DEI) initiatives have been established to combat barriers to entry and promote retention in surgery residency programs. Our study evaluates changes in diversity in general surgery residency programs. We hypothesize that diversity trends have remained stable nationally and regionally.",Kearse LE
Journal of American college health : J of ACH,2023,2,Campus climate and sense of belonging: Implications for the mental health outcomes of Asian American graduate students.,"Objective: The purpose of this study was to test a conceptual framework examining the interrelationships among campus climate, sense of belonging, anxiety, depression, and flourishing using a sample of Asian American graduate students. Methods: Secondary analysis of the Healthy Mind Study data from Fall 2019-Spring 2020 was conducted using a path analysis controlling for gender and perceptions of current financial situation as stressful. Results: Findings indicated that neither campus climate measured as perceptions of the climate for students from diverse backgrounds nor campus climate measured as perceptions of overall campus climate directly affected any of the outcome variables. Moreover, it was found that sense of belonging fully mediated the relationship between each campus climate and outcome variable. Conclusions: Sense of belonging is important to consider when evaluating campus climate and mental health outcomes among student populations. There are implications for college administrators responsible for diversity, equity, and inclusion initiatives and programs.",McKenzie CS
Developmental science,2023,2,"Stereotypes in the classroom's air: Classroom racial stereotype endorsement, classroom engagement, and STEM achievement among Black and White American adolescents.","Initiatives promoting diversity, equity, and inclusion in predominantly White contexts, including STEM fields, have primarily relied on approaches to increase the representation of minoritized individuals. However, an increase in the representation of minoritized individuals is only one step of the process, as the present study suggests that explicit beliefs about particular racial groups' abilities also matter. The present article examined whether classroom racial stereotype endorsement about science and math disadvantaged Black American adolescents relative to their White American peers. Across two longitudinal studies with 533 and 1,189 adolescents (N-adolescents = 1722; N-classrooms = 86; 45% Black American, 55% White American; 51% females; M-age = 13-14), classroom pro-White/anti-Black stereotype endorsement in the fall term predicted better science and math achievement scores for White American adolescents and lower science and math achievement scores for Black American adolescents at the end of the academic year. Student- and teacher-reported student engagement in science and math classrooms mediated the longitudinal relations between classroom pro-White/anti-Black stereotype endorsement and students' achievement scores. Results suggest that classrooms may be important conduits for communicating racial stereotypes that create racially hostile STEM learning environments. RESEARCH HIGHLIGHTS: Using a longitudinal sample of 1722 adolescents enrolled in 86 classrooms, the present study examined the consequences of classroom racial stereotype endorsement during adolescence. White American adolescents demonstrated favorable achievement scores in science and math when their classmates endorsed traditional, or pro-White/anti-Black, stereotypes. Black American adolescents showed worse achievement scores in science and math when their classmates endorsed pro-White/anti-Black stereotypes. Classroom engagement mediated the longitudinal relations between classroom pro-White/anti-Black stereotype endorsement and achievement scores for both Black and White American adolescents.",Del Toro J
"International journal of radiation oncology, biology, physics",2023,2,"Equity, Diversity, and Inclusion in Radiation Oncology: A Bibliometric Analysis and Critical Review.","The promotion of equity, diversity, and inclusion (EDI) is being increasingly pursued in health care, both in general and within radiation oncology. Because bibliometrics is a powerful tool to reveal the scientific literature on a specific topic during a certain timespan, a systematic bibliometric analysis of the documents published on EDI in radiation oncology was performed, aiming at exploring common patterns in research and emerging trends, tracking collaborations and networks, and anticipating future directions in clinical research. Standard descriptive statistics and bibliometric techniques were used in the analysis. A collaboration network and thematic map were generated from the data. Four domains were represented: (1) motor themes, including themes well developed and important for the structuring of the research field; (2) niche themes, representing the isolated topics that do not share important external links with other themes; (3) emerging themes, referring to still weakly developed topics; and (4) basic themes, including the essential topics. EDI in the profession of radiation oncology is essential to ensure that the workforce delivering radiation oncology care both draws from the full talent pool of human capital and delivers the highest quality science and clinical care to all patients. The burgeoning literature on EDI in radiation oncology suggests that a large and growing cohort of scholars within radiation oncology are dedicated to addressing these important challenges.",Franco P
"International journal of radiation oncology, biology, physics",2023,2,"Radiation Oncology residency training program integration of diversity, equity, and inclusion: An Association of Residents in Radiation Oncology Equity and Inclusion Subcommittee (ARRO EISC) inaugural program director survey.","To investigate United States (US) radiation oncology (RO) program directors' (PDs) attitudes and practices regarding racial/ethnic diversity, equity, and inclusion (DEI) to better understand potential impact on underrepresented in medicine (UIM) residents in RO.",Williams VM
