journal,year,month,title,abstract,author,author1,affiliation
Clinics in Dermatology,2022,11,"The essential role of dermatology publications in enhancing professional diversity, equity, and inclusion.",,"Burgin, S.","Dlova, N.C.","Department of Dermatology, Brigham and Women's Hospital, Boston, Massachusetts, USA"
Medical Education,2022,11,"Addressing diversity, equity, and inclusion through simulation center education resources.","The article features the New York Simulation Center for Health Sciences (NYSIM), a New York University (NYU) Grossman School of Medicine partnership with the City University of New York supporting health care professional (HCP) education. Topics discussed include purpose of centralizing resources, database maintained by NYSIM to match standardized participants (SPs) to appropriate cases, and finding on the analysis of SP demographics between 2019 and 2021.","Blatt, Brielle","Allen, Kathleen",
Journal of the American Veterinary Medical Association,2022,10,"Tips for making diversity, equity, inclusion a reality in your practice: Making adjustments to hiring process and website a good start, speaker says.","The article focuses on Laura Pletz, president of the Women Veterinary Leadership Development Initiative. Topics include considered a scientific services manager for Royal Canin, defined diversity as differences in areas such as race, ethnicity, gender, sexual orientation, gender identity, age and socioeconomic class.","Nolen, R. Scott",,
Journal of Surgical Research,2021,2,"Equity, Diversity, and Inclusion in Academic American Surgery Faculty: An Elusive Dream.","In the context of shifting population demographics in the United States, a diverse workforce in health care can lead to improved patient outcomes and enhance access to culturally competent care for minorities. The objective of this study was to analyze and quantify the relationship of gender, race, and academic rank, tenure status, and degree in American academic surgical faculty. A 12-y retrospective cross-sectional analysis of the data from the Association of American Medical Colleges was performed. The distribution of race and gender across academic ranks, tenure, and degree types were recorded from 2007-2018. Simple descriptive statistics and chi-square analysis was used to analyze the time trends and association between gender and race across academic rank, tenure status, and degree types. When averaged over the 12 y of this study, there were significantly more whites (69.8%) and males (74.5%) among the academic surgery faculty compared with other races and females, respectively (P value <0.05). Asians and females experienced the greatest increase in proportional representation across all academic ranks with an absolute increase of 7% and 5% in full professor, 5% and 6% in associate professor, and 7% and 3% in chairperson (P value <0.05), respectively. No significant association was observed between gender and race with tenure status or degree type. Female and Asians are increasing in proportional representation; however, racial and gender disparities remain prevalent at higher academic ranks and positions of leadership, especially among black and Hispanic academic surgeons.","Zhu, Kai","Das, Priya","Faculty of Medicine, Department of Medicine, University of British Columbia, Vancouver, British Columbia, Canada"
Journal of Graduate Medical Education,2021,2,"Promoting Diversity, Equity, and Inclusion: Building Community for Underrepresented in Medicine Graduate Medical Education Trainees.",,"Usoro, Agnes","Hirpa, Meron",
Parks & Recreation,2022,10,NRPA’s Equity in Practice Initiative.,"The article discusses that the mission of the National Recreation and Park Association (NRPA) is to advance parks, recreation, and environmental conservation efforts that enhance the quality of life for all people. NRPA's Equity Pillar has been a driving force behind its programs. NRPA transitioned its diversity, equity and inclusion efforts to support individual growth and organizational change in the field.","Mirpuri, Shalini",,"Senior Manager of Education – Diversity, Equity and Inclusion at NRPA."
AEM Education & Training,2021,9,"Call to action in academic emergency medicine: Going beyond the appreciation of diversity, equity, and inclusion to true practice.",,"Landry, Alden","Boatright, Dowin","Harvard Medical School, Boston Massachusetts,, USA"
SLIS Student Research Journal,2020,7,"Equity, Diversity, and Inclusion Climate Assessment Activities: Development and Strategic Use in Diversity Action Plans.","This project report describes climate assessment activities in support of the development of a collegelevel diversity, equity, and inclusion (EDI) action plan. Elements of the climate assessment activities are described along with their purpose and rationale for inclusion. Recommendations are made for libraries to design and deploy their own EDI assessment activities with the goal of developing robust action plans supportive of inclusive excellence.","Rebmann, Kristen M. Radsliff","Zartoshty, Parinaz",SJSU School of Information
Leader to Leader,2023,1,"LEADING IN A DIGITAL ERA WITH EQUITY, INCLUSION, AND DIVERSITY.","The author, a partner at McKinsey & Company and former Google executive, calls for a new type of leadership and organizational governance in the evolving digital era. This means being serious and intentional about diversity, equity, and inclusion, to a greater degree than we've seen in recent years, even with the spotlight on these topics. Current reporting on metrics regarding these topics may be inadequate. ""First,"" Jules says, ""leaders must deal with new and evolving identity categories that are becoming more common to any organization's reality."" He continues that ""a second complicating issue around EID today is that it forces leaders and employees to confront and discuss what makes them uncomfortable."" Then, according to Jules, ""a third challenge is answering a big question that's increasingly asked, especially if you are an investor: How diverse are the entrepreneurs you are talking to in your pipeline?"" He sets out practical steps for making EID a priority. In his words, they are: Conduct an EID review; Shift mindsets and ensure an inclusive, transparent, and fair experience; Establish an EID governance structure to align leaders and reinforce mutual accountability; and Set up the right reporting and insights capabilities.","Jules, Claudy",,Partner at McKinsey & Company.
About Campus,2022,9,Teaching Through Microaggressions: Considerations for Faculty.,"The article looks at a research suggests that diversity is not often readily accepted within the classroom by students driven by their personal perceptions and biases of working with diverse educators. It mentions strong desire and urgency to contribute to the body of literature within higher education and developed strategies for faculty to address microaggressions. It also mentions variety of instructional approaches related to inclusion, equity, and diversity in college classrooms.","Childs, Jonique R.","Thota, Neena",
Australian & New Zealand Journal of Obstetrics & Gynaecology,2023,4,Australian medical students' and junior doctors' perceptions of gender discrepancies in obstetrics and gynaecology.,"Background: There is currently a gender imbalance 85:15 female/male in the intake into specialist training for the Royal Australian and New Zealand College of Obstetricians and Gynaecologists (RANZCOG). Aims: To determine the views and perceptions of Australian medical students, and junior doctors in the first five years of practice, toward obstetrics and gynaecology (O&G) as a career, including whether there are any perceived barriers to the pursuit of such a career. Materials and Methods: A semi‐structured questionnaire was developed with members of the RANZCOG Gender Equity and Diversity Working Group There were two separate studies: the first involved telephone interviews of medical students across three campuses of a medical school in North Queensland. The second study surveyed junior doctors in Queensland who are members of the Australian Medical Association. Responses were analysed and compared using quantitative and qualitative methods. Results: Both studies found that experiences with O&G as a medical student influenced the decision to pursue O&G as a career. Exclusion from clinical scenarios and difficulty establishing good relationship with midwives within busy birthing suites were some reasons deterring male students from O&G. In addition, students felt poorly informed about the specialty in their preclinical years, affecting their early decisions in choice of specialty. Post‐rotation, more female than male students reported positive experiences and were considering O&G as a career. Conclusions: Both groups see medical student experience as critical in attitudes toward the specialty as a possible career. This experience plays a significant role in encouraging female students toward a career in O&G and discouraging male students. More exposure to the specialty in the preclinical years, and attention to improving clinical rotations for all students, is required.","Win Kyaw, Monyi","Cheng, Hon C.","Cairns Hospital, James Cook University, Cairns Queensland,, Australia"
Journal of Infectious Diseases,2020,10,"Pathways to Leadership: Reflections of Recent Infectious Diseases Society of America (IDSA) Leaders During Conception and Launch of the Inclusion, Diversity, Access, and Equity Movement Within the IDSA.","Opportunities for leadership in the specialty of infectious diseases (ID) have markedly increased over the last decade, including in newly recognized areas. Commensurate with the expansion of opportunities in ID, pathways to leadership positions within the Infectious Diseases Society of America (IDSA) are expanding as the Society seeks to advance the field for IDSA members. Acknowledging both the importance of diverse leaders to organizational success and shortfalls in diverse representation within IDSA leadership led to concentrated efforts to enhance transparency and opportunities for members to participate broadly in the work of IDSA. Herein, IDSA leaders reflect on their paths to IDSA leadership, hoping to help guide members seeking to partner with the Society. Features identified as important to individual success include mentorship, networking, participation in ID and IDSA volunteer experiences, passion for ID, and working with IDSA staff to advance the programs and initiatives of IDSA on behalf of members.","Sears, Cynthia L","Powderly, William G","Johns Hopkins University School of Medicine , Baltimore, Maryland, USA"
Journal of Moral Theology,2020,6,"Diversity, Equity, and Inclusion--Doing the Work of Mission in the University.","The article offers information about diversity, equity, and inclusion. Topics include images symbolized to a history of racial oppression and barriers has to hurdle in order to reach goal of attending college; and the dominant image has of students with one hand raised in a fist and the wrapped for a protest sign capturing the spirit of challenge and change.","Nance, Teresa A.",,"Vice President of Diversity, Equity and Inclusion, Chief Diversity Officer, and Associate Professor of Communication at Villanova University"
Clinical Nursing Research,2023,2,"Diversity, Equity, and Inclusion Associate Editors: An Essential Addition to Clinical Nursing Research.","An editorial is presented on racial and ethnic minorities, sexual and gender minorities. Topics include ensuring all manuscripts accepted for publication addressing the authors attended to issues related to DEI; and welcoming diverse scientific teams contributing to the body of evidence showing the practice.","Pinto, Melissa D.",,"University of California Irvine, Irvine, CA, USA"
Journal of Librarianship & Scholarly Communication,2020,1,"A Commitment to Anti-racism, Diversity, Equity, and Inclusion from JLSC.",,,,
Optometry Times,2023,2,"Diversity, equity, inclusion, and belonging--in practice: As efforts continue across the globe, optometrists need to take action in clinics.","Diversity, equity, inclusion, and belonging (DEIB): This has been a common and now familiar word group that has pierced the fabric of many academic and corporate institutions. If that is an environment that is created, then all parties (staff, doctors, and patients) can expect to fully benefit from an inclusive practice.","Shoge, Ruth",,
Library Quarterly,2015,4,"The Virtuous Circle Revisited: Injecting Diversity, Inclusion, Rights, Justice, and Equity into LIS from Education to Advocacy.","The field of library and information science (LIS) has long struggled with issues of diversity and inclusion in the composition of information professionals, in educational content, and in connecting with many communities. Yet the field has also produced many innovative approaches to meeting unique community needs and incorporating issues of justice, rights, and equity into educational activities. Although these approaches rarely connect education and advocacy, connecting these two can both facilitate better sharing of best practices in these areas and enable the educational and professional efforts of the field to better complement one another. Building on the ""virtuous circle"" concept that a truly effective focus on inclusion in the field will require involvement of both educators and professionals, this article offers a series of cases from LIS education programs and information institutions focusing on intersecting issues of diversity, inclusion, rights, justice, and equity.","Jaeger, Paul T.","Cooke, Nicole A.",
Of Counsel,2020,10,"Diversity, Equity, and Inclusion: The Challenges Ahead for Lawyers and Directors.","A personal narrative is presented which explores the author's experience of honor working with and speaking to many boards, public and private, and with many individual board members.","Levick, Richard S.",,
Skeletal Radiology,2022,4,Diversity and perception of equity and respect in the Society of Skeletal Radiology (SSR).,"Purpose: To assess the perception of equity and respect in the workplace and within the SSR. We hypothesized that responses would differ by gender and minorities underrepresented in medicine (URiM) status. Methods: An electronic survey was sent to 1,531 SSR members between January 2020 and March 2020 to determine perception of equity and respect. Descriptive statistics were calculated, and analysis of differences in response by gender/minority status was performed using the Fisher's exact test. The study was exempt from IRB approval. Results: There were 176 responses (11.5%). Most respondents (61.9%) were between 30 and 50 years. Members identified as male (M) in 74.4%, as female (F) in 25.0%, and as ""other"" in 0.6%. URiM comprised 9.1% of members. Women worked more commonly in academia (p = 0.005), had the perception of unequal opportunities for leadership positions within the institution (p = 0.006), and emphasized the importance of having a mentor of the same gender (p = 0.001). URiM members were less likely to hold a leadership position (p = 0.1, trend), had a perception of unequal opportunities for leadership positions within the institution (p = 0.06, trend), and reported the importance of having a mentor of the same race (p = 0.06, trend). There were no significant differences between gender or URiM status and perception of the SSR to provide an inclusive environment and leadership opportunities (p ≥ 0.39). Conclusion: While survey participation was limited and potentially biased, respondents perceived that women and minorities have fewer opportunities and are treated with lower regard in the workplace compared to male, non-minority colleagues.","Bredella, Miriam A.","Chung, Christine B.","Division of Musculoskeletal Imaging and Intervention, Department of Radiology, Massachusetts General Hospital and Harvard Medical School, Yawkey 6E, 55 Fruit Street, 02114, Boston, MA, USA"
European Journal of Teacher Education,2007,6,Embracing inclusive teacher education.,"This paper examines the extent to which initial teacher education (ITE) programmes contribute to the development of inclusive attitudes, values and practices. Inclusive education is the entitlement of all children and young people to quality education, irrespective of their differences or dispositions. It is about embracing educational values of equity, diversity and social justice. The data which underpins this paper was obtained through research commissioned by the Department of Education (DE) Northern Ireland (NI) which sought to identify existing practices that increased the motivation, participation and achievement of all pupils of school age with special educational needs (Moran & Abbott, 2006). Head teachers and Special Educational Needs Coordinators (SENCOs) views were sought on the effectiveness of ITE programmes in preparing student teachers to work in inclusive school settings.","Moran, Anne",,University Of Ulster
Advances in Physiology Education,2020,9,"Knowledge gains in a professional development workshop on diversity, equity, inclusion, and implicit bias in academia.","As literature indicates, historic racism and implicit bias throughout academia have been profound metrics leading to a lack of diversity, as related to people from underrepresented groups according to race and ethnicity, among biomedical sciences graduate students in U.S. universities. Recognizing such challenges, a team of biomedical scientists and inclusivity educators developed and implemented a pilot training program within an academic health sciences center as an initial step to educate faculty and staff regarding their roles in the promotion of an inclusive academic environment, receptive to all students, including underrepresented students. The 3-h workshop included didactic modules, videos, teaching modules, and active attendee participation. Faculty and staff were presented common terminology and ways to promote the development of an inclusive and diverse academic workforce. Compared with pre-workshop, post-workshop survey results indicated a statistically significant improvement in attendee knowledge of correctly identifying definitions of ""implicit bias,"" ""status leveling,"" ""color-blind racial attitudes,"" ""tokenism,"" and ""failure to differentiate."" Additionally, by the end of the workshop, participants had a statistically significant increase in self-perceptions regarding the importance of improving diversity and recognizing biases and stereotypes in graduate education, knowing what to say when interacting with people from different cultures, and the ability to acknowledge bias when mentoring students from groups underrepresented in the biomedical field. This preliminary initiative was successful in the introduction of faculty and staff to the importance of fostering an inclusive academic environment and thereby developing a diverse workforce.","Harrison-Bernard, Lisa M.","Augustus-Wallace, Allison C.","Department of Physiology, Louisiana State University School of Medicine, New Orleans, Louisiana"
Medical Education,2022,7,"When I say ... diversity, equity and inclusion (DEI).","To create belonging in medical education, Wyatt et al. argue that institutions must consider diversity, equity and inclusion (DEI) from a systems‐based perspective that integrates each of these components.","Rossi, Alexis L.","Wyatt, Tasha R.","DaVinci Education, Inc., Durham North Carolina,, USA"
JONA: The Journal of Nursing Administration,2022,6,"Diversity, Equity, and Inclusion in the 2023 Magnet ® Application Manual.","The mission and vision of the Magnet Recognition Program® is to continually elevate patient care and transform healthcare globally through an environment where nurses and the interprofessional team flourish. Diversity, equity, and inclusion (DEI) affect healthcare workers and patients. The Commission on Magnet Recognition further integrated structures and processes involving DEI into the 2023 Magnet® Application Manual to emphasize the importance of organizations' enculturation of these initiatives as a part of the mission and vision. This Magnet Perspectives column reviews the organizational overview items and sources of evidence addressing DEI in the 2023 Magnet Application Manual and offers resources for nursing leadership.","Bryant, Tiffany","Pruski, Beth B.","Author Affiliations: Senior Magnet Program Analyst, Magnet Recognition Program®, American Nurses Credentialing Center, Silver Spring, Maryland."
Professional Safety,2020,9,"ASSP LAUNCHES DIVERSITY, EQUITY & INCLUSION TASK FORCE.","The article reports that American Society of Safety Professionals (ASSP) establish a board-level task force that will help clearly define their goals for diversity, equity and inclusion.",,,
Journal of Medical Imaging & Radiation Oncology,2023,3,Untangling the gender pay gap in radiation oncology.,"Keywords: diversity; equity and inclusion; gender; radiation oncology; workforce EN diversity equity and inclusion gender radiation oncology workforce 212 215 4 03/29/23 20230301 NES 230301 Women are an integral part of the radiation oncology workforce in Australia, New Zealand and Singapore, representing 40% of the workforce in 2018.[1] Women radiation oncologists within the Royal Australian and New Zealand College of Radiologists (RANZCR) make significant contributions across all domains: clinical, research/academia, education, policy and advocacy. In the Australian public sector, incremental pay increases occur according to accrued time in service and career gaps such as unpaid parental leave can delay pay increases. The gender wage gap among medical specialists: a quantitative analysis of the hourly pay of publicly employed senior doctors in New Zealand.","Yap, Mei Ling","James, Melissa","Collaboration for Cancer Outcomes, Research and Evaluation, UNSW Sydney, Sydney New South Wales,, Australia"
PLoS Computational Biology,2022,10,Ten simple rules for creating and sustaining antiracist graduate programs.,"In 2020, the combination of police killings of unarmed Black people, including George Floyd, Breonna Taylor, and Ahmaud Arbery, and the Coronavirus Disease 2019 (COVID-19) pandemic brought about public outrage over long-standing inequalities in society. The events of 2020 ignited global attention to systemic racism and racial inequalities, including the lack of diversity, equity, and inclusion in the academy and especially in science, technology, engineering, mathematics, and medicine (STEMM) fields. Racial and ethnic diversity in graduate programs in particular warrants special attention as graduate students of color report experiencing alarming rates of racism, discrimination, microaggressions, and other exclusionary behaviors. As part of the Graduate Dean's Advisory Council on Diversity (GDACD) at the University of California Merced, the authors of this manuscript held a year-long discussion on these issues and ways to take meaningful action to address these persistent issues of injustices. We have outlined 10 rules to help graduate programs develop antiracist practices to promote racial and ethnic justice, equity, diversity, and inclusion (JEDI) in the academy. We focus on efforts to address systemic causes of the underrepresentation and attrition of students from minoritized communities. The 10 rules are developed to allow graduate groups to formulate and implement rules and policies to address root causes of underrepresentation of minoritized students in graduate education.","Perez-Lopez, Edgar","Gavrilova, Larisa","Department of Mechanical Engineering, University of California, Merced, California, United States of America"
Organization Development Review,2022,10,Healing Stories: How Storytelling and Metaphor Build Capacity for Healing and Transforming Organisational and Racial Trauma.,"Storytelling has healing and transformative capacities. In the context of anti-racism, equity, diversity, and inclusion work with a caregiving organisation, this paper explores how storytelling and metaphor can build the capacity for organisations to heal and transform systemic, organisational, and racial trauma. I hope it can be of use to organisational change practitioners, organisational leadership, and staff seeking to center anti-racism, anti-oppression, equity, inclusion, and diversity in their practices.","Muriithi, Carole Wawira",,"Facilitator, organisational process consultant, emergent strategist, visual artist, and poet"
Boston University Law Review,2023,2,THE COLOR OF LAW REVIEW.,"Of the approximately sixty-five Black law review Editors-in-Chief (“EICs”) throughout U.S. history, at least thirty-eight—more than half—were elected in the past ten years. What inspired the dramatic increase in the diversity of law review leadership in recent history, and why has it taken so long? This question—what this Article calls law review’s ongoing “diversity problem”— does not have an easy answer. While legal scholars have been talking about diversity, equity, and inclusion (“DEI”) on law review boards for far longer than the past decade, no law school has yet to solve it. Further, even as an increasing number of law schools promote DEI in the classroom, from creating antiracist curricula to appointing diversity-focused administrators, only a handful of law schools seem to be paying much attention to the diversity of their law review boards. The overwhelming silence of law schools amidst the persistent racial and ethnic homogeneity of their law reviews suggests that some law school administrators believe the problem lies with the merit of their non)White students. Or, perhaps some believe that law review’s diversity problem is merely symptomatic of ongoing challenges to admit more underrepresented students into J.D. programs nationwide. This Article argues that law review’s diversity problem must be viewed in the broader context of sociopolitical efforts to eradicate racial injustice in the United States and reform legal education. Applying a critical racial lens toward efforts to promote DEI in law review, this Article clarifies three fundamental drivers of law review’s diversity problem, with implications not just for law review, but for legal education writ large. First, this Article claims that the purpose of DEI for law reviews is not solely to increase the number of racially and ethnically minoritized students on the law review roster to enhance the learning experience of student editors, but also to realign the distorted function of law review with its ideal purpose. Second, it argues that the role of law review’s DEI is not merely to increase the equality of opportunities for underrepresented students or broad-based discussion of marginalized experiences and diverse perspectives of law, but also to challenge the fundamental structure of the sociolegal institutions that coordinate legal education in the United States. Finally, this Article contends that the value of DEI for law reviews is not simply the increased number of marginalized voices engaged in mainstream legal discourse, but, perhaps most importantly, the inclusion of voices into mainstream legal discourse that do not always have the perceived academic merit or societal prestige necessary to gain access.","PARKS, GREGORY S.","TOUSSAINT, ETIENNE C.","Associate Dean of Strategic Initiatives, Professor of Law, Wake Forest University School of Law."
Missouri Law Review,2023,1,The NCAA's Punts on Transgender Student-Athlete Participation.,"The National Collegiate Athletic Association (""NCAA""), which serves as college athletics's national governing body, states that its basic purposes include supporting and promoting healthy and safe college athletics. It accomplishes this through its stated principles, which include conducting athletics designed to protect, support, and enhance student-athletes' physical and mental health and its commitment to diversity, equity, and inclusion. These are tall tasks, as half a million student-athletes compete in NCAA-sponsored sports. The NCAA also enjoys a history of taking strong stances on perceived discrimination. More specifically, the NCAA has used its economic influence to effect changes to state legislation or practices that it finds discriminatory. Recent examples include North Carolina's so-called ""bathroom bill"" and Mississippi's inclusion of the Confederate battle symbol on its state flag. The NCAA recently had two opportunities to continue this strong anti-discriminatory history when faced with decisions regarding transgender athlete participation. However, in a departure from its past practices, the NCAA effectively punted in both instances, surprising and disappointing many college athletics constituents, including countless student-athletes. This Article scrutinizes the NCAA's surprisingly passive response to states' efforts to ban transgender girls and women from sports participation aligning with their gender identity and its recent revisions to rules regarding transgender student-athlete participation in NCAA sports. The Article's first Part explores the NCAA's governance, stated goals and missions, and history of strong and effective actions in response to laws, practices, and symbols it finds discriminatory. The second Part analyzes the NCAA's response--or lack thereof--to some states' efforts to prohibit transgender individuals from participating in sports aligning with their gender identity. Part III critiques the NCAA's recent revisions to transgender student-athlete participation eligibility rules, concluding that they effectively amount to a second punt. A brief conclusion follows.","Lens, Josh",,"Assistant Professor of Recreation and Sport Management at the University of Arkansas, Fayetteville (J.D., University of Iowa College of Law)"
AUANews,2020,11,"Equity, Diversity and Inclusion in the Urology Workforce: The Time is Now.",,"Simons, Efe Chantal Ghanney","Javier-Desloges, Juan",
Canadian Winds / Vents Canadiens,2020,10,"Equity, Diversity, and Inclusion in Canadian Wind Bands.","An introduction is presented in which the editor discusses articles in the issue on topics including normalizes awareness surrounding matters, and ""Technology and Music/La technologies et la musique.""","Mantie, Roger","Tucker, Lynn","President, Canadian Band Association"
Herpetological Review,2022,12,"2022 Annual Meeting, Spokane, Washington, USA.","The article informs that the Society for the Study of Amphibians and Reptiles (SSAR) held their 65th annual meeting in Spokane, Washington, U.S. from July 27-31, 2022. It featured 409 oral presentations, 212 poster presentations, six workshops, and five symposia. The symposia addressed topics like biogeography, diversity and inclusion, museum collections and whiptail lizards. The importance of diversity, equity and inclusion in ichthyology and herpetology was a prominent theme.",,,
IEEE Transactions on Professional Communication,2021,6,"Diversity, Equity, and Inclusion in the Transactions.",Presents the introductory editorial for this issue of the publication.,"Walwema, Josephine",,"Department of English, University of Washington, Seattle, WA, USA"
Strategic Finance,2022,3,"TOWARD A CULTURE OF BELONGING: Collective action toward diversity, equity, and inclusion is needed to enact change in the global accounting profession.","The article highlights the need for a collective action toward diversity, equity and inclusion (DE&I) to advance change in the global accounting profession. Topics covered include catalysts for action that can help determine how the profession can achieve a sustainable culture of belonging, actionable practices and metrics that can be employed by accounting and finance that will encourage an increase in organized, collaborative among accountancy organizations and public accounting firms.","JILES, LOREAL","JULES, DIANE","Vice president of research and thought leadership, IMA"
Professional Safety,2021,4,"DIVERSITY, EQUITY & INCLUSION.","The article offers information on American Society of Safety Professionals has formed the board-level Diversity, Equity and Inclusion (DEI) Task Force and many members with a wide range of backgrounds and perspectives applied.","Roy, Deb",,
Urology,2022,4,"Urologists for Equity: A Collective Approach Toward Diversity, Equity, and Inclusion in Urology.",,"Cannon, Shannon","Seideman, Casey A.","Department of Urology, University of Washington"
Educational Leadership,2021,3,"The Illusion of Equity PD: Are our equity professional development initiatives really working, or do we just think they are?","In the article, the author examines whether the diversity, equity, and inclusion training and professional development (PD) programs in the U.S. education sector are effective or not. Also cited are the use of the Dunning-Kruger Effect model to determine the effects of equity PDs, the study on how the model affects sexism and racism, and how to achieve effective equity professional learning.","Tucker-Smith, T. Nicole",,Founder and CEO of Lessoncast
Journal of Orthopaedic Research,2020,8,"The importance of diversity, equity, and inclusion in orthopedic research.","Diverse workforces and inclusive workplaces improve productivity, innovation, and overall quality-of-care for all patients,1,2 increase public trust in medical research,3 and are generally good for business.4 Unfortunately, orthopedics lags behind other biomedical fields in the recruitment of women and underrepresented minorities into training programs and faculty ranks5-7 and focused recruitment efforts have not reduced the gender, racial, or ethnic gaps in orthopedic residency programs.7 These gaps exist among both clinical and research faculty in academic orthopedic surgery departments,8 as well as in other departments that house orthopedic researchers, such as engineering. For 6 months, we reviewed the current ORS diversity statement, available literature, and membership data, and discussed best practices and goals for promotion of a diverse, equitable, and inclusive culture in the ORS. ORS, Orthopaedic Research Society [Color figure can be viewed at wileyonlinelibrary.com] gl Membership diversity is important for the long-term success of ORS and the fields of orthopedics and musculoskeletal research. Under the new ORS 2025 strategic plan, the Board of Directors also identified DE&I as a core value of the ORS and defined a community objective to cultivate a diverse, inclusive, and engaged ORS by increasing access and opportunities.","Alliston, Tamara","Foucher, Kharma C.","Department of Orthopaedic Surgery, University of California San Francisco, San Francisco California"
Diverse: Issues in Higher Education,2022,6,"Diversity, Equity, Equality, and Inclusion: Can We Talk?","The article reports that the U.S. Senate hearings of Judge Kentanji Brown Jackson. Judge Brown Jackson, who happens to be a Black woman, was nominated by U.S. President Joe Biden and became the most recent appointed U.S. Supreme Court Justice. Like previous SCOTUS Justice nominees, Justice Brown Jackson has earned commendable professional and educational accomplishments.","KNOX, JONELLE",,
Medical Teacher,2019,12,Be explicit: Defining the difference between the Office of Diversity & Inclusion and the Office of Diversity & Equity.,"Diversity, inclusion, and equity are recognized as educational priorities and strategies for excellence across medical education. However, an inadvertent consequence of this push for best practice is that these terms are used interchangeably. This personal view intends to highlight the importance of language in an office of diversity and how it can potentially exacerbate the disparities it aims to alleviate. While a diversity office promotes the importance of individual differences, in definition, an office of ""Diversity and Inclusion"" focuses on creating a culture of respect, value, and belonging for all. On the other hand, an office of ""Diversity and Equity"" focuses on addressing the unique barriers that disadvantage a subset of students and faculty. This has important implications for students, faculty, staff, and administration. Moreover, this directly affects the perceptions of an institutions' diversity climate.","McCleary-Gaddy, Asia",,"Hackensack Meridian School of Medicine, Seton Hall University, Kingsland St, Nutley, NJ, USA"
Medical Writing,2022,3,"A career journey in sustainability: Three questions for Alex Schuman, Head of Corporate Sustainability and Diversity, Equity, & Inclusion, Schrödinger.","The article presents an interview with Alex Schuman, sustainability leader award finalist in the inaugural World Sustainability Awards. Topics include industry buzzwords and acronyms relating to sustainability such as corporate social responsibility (CSR) and the other being environmental, social, and governance (ESG); and asking about the greatest achievement in the finalists at the 2021 World Sustainability Leaders Award.",,,
Diverse: Issues in Higher Education,2023,3,Two Scholars are Building Diversity Initiative Database for All.,"The article focuses on Academic Pipeline Exchange, an initiative to create a nationwide database of diversity, equity, and inclusion (DEI) programs in the institutions across the U.S. Topics include the database uses the Indexes to assess the programs which helps to bring awareness within an institution; it highlights best practices for the institution; and share DEI progress and commitments with institutions as they work toward their strategic goals.","HERDER, LIANN",,
British Journal of Dermatology,2022,8,"Response to 'The essential role of dermatology publications in enhancing professional diversity, equity and inclusion'.","While ITA is a continuous scale, like FST it is often classified into six skin colours.8 We suggest a continuous scale would more accurately reflect the true variation of skin colour in our populations. Fitzpatrick skin typing (FST) was developed for the specific purpose of predicting reactivity of white skin to psoralen-ultraviolet A therapy.2 In its original form, FST described skin types I-IV, with skin types V and VI included later to represent people of Asian and African heritage.3 Consequently, FST became a means of describing skin colour.","Gribbin, Hannah","Lee, Ruby C.","Department of Dermatology, Princess Alexandra Hospital, Brisbane QLD,, Australia"
Journal of Graduate Medical Education,2022,6,"Using a Milestone Framework for Assessing Resident, Fellow, and Faculty Competence in Diversity, Equity, and Inclusion.",,"Simpson, Deborah","Bidwell, Jacob",
Medical Teacher,2021,7,"Cultivating the physician workforce: Recruiting, training, and retaining physicians to meet the needs of the population.","In the 10 years since the Lancet Commission on Education of Health Professionals for the 21st Century suggested the changes necessary to transform medical education, the United States remains plagued by shortages of physicians and maldistribution of the physician workforce. Minoritized and rural communities usually suffer the most, with widely documented health disparities across the United States by race, ethnicity, gender identity, education, and zip code. Medical schools can respond by recruiting students more likely to practice in these settings and training them to address the community needs. In 2013, the American Medical Association launched an initiative to trigger transformation in medical education and formed a consortium of schools representing a diversity of U.S. institutions. Consortium member schools highlighted in this article share lessons learned in their efforts to strengthen social accountability and develop needed sectors of the physician workforce. Development of the physician workforce involves recruiting and widening pathways of entry for diverse groups, providing training settings and competencies aligned with community needs, and explicit programming in retention, inclusion and well-being to mitigate against workforce losses.","Terregino, Carol A.","Byerley, Julie","Rutgers Robert Wood Johnson Medical School, Piscataway, NJ, USA"
Studies in Higher Education,2023,2,Elite schools lead: an empirical examination of diversity requirements in higher education job markets.,"Diversity, equity, and inclusion (DEI) statements for job applicants in higher education are somewhat controversial. Advocates argue that DEI requirements ensure fair representation, counter historical discrimination, and improve efficiency. Critics contend that DEI requirements reduce faculty quality by limiting the number of eligible applicants and by screening out heterodox views, thereby limiting potential research. Anecdotal evidence suggests that the use of mandatory DEI statements is growing; yet, there have been no empirical investigations of their frequency, nor how such requirements vary across academic disciplines, geographic region, and university selectivity. We audit a sample of academic job postings (n = 999) during September-October 2020, finding that nearly twenty percent require DEI statements. We find selective universities are significantly more likely to require DEI statements than non-selective universities, while academic disciplines (i.e. social sciences, STEM) are not significant predictors of DEI statements. We also find evidence of regional variation.","Paul, James D.","Maranto, Robert","Department of Education Reform, University of Arkansas, Fayetteville, AR, USA"
